nom, addresse, téléphone, site internet, réseaux sociaux, email, horaire, nombres de note, note, latitude, longitude, country, city, category, code, info, zip, url
"Digitools.io", "14 Rue Soleillet, 75020 Paris", "09 72 60 34 51", "digitools.io", "", "job@lalaleads.ioNom", "dimanche, Fermé; lundi, de 08:00 à 19:00; mardi, de 08:00 à 19:00; mercredi, de 08:00 à 19:00; jeudi, de 08:00 à 19:00; vendredi, de 08:00 à 19:00; samedi, Fermé. ", "", "5,0  ", "48.8655438", "2.3917193", "France", "Paris", "Agence de marketing", "V98R+5H Paris", "", "75020", "https://www.google.fr/maps/place/Digitools.io/data=!4m7!3m6!1s0x47e6056706ef3195:0x188b7849af05a152!8m2!3d48.86545!4d2.391495!16s%2Fg%2F11dxdb5gct!19sChIJlTHvBmcF5kcRUqEFr0l4ixg?authuser=0&hl=fr&rclk=1"
"Bubble Data Consulting", "", "06 61 41 67 64", "bbdconsulting.fr", "", "contact@bbdconsulting.fr", "vendredi, de 09:00 à 12:30, de 13:30 à 18:00; samedi, Fermé; dimanche, Fermé; lundi, de 09:00 à 12:30, de 13:30 à 18:00; mardi, de 09:00 à 12:30, de 13:30 à 18:00; mercredi, de 09:00 à 12:30, de 13:30 à 18:00; jeudi, de 09:00 à 12:30, de 13:30 à 18:00. ", "", "5,0  ", "", "", "France", "", "Agence de marketing", "", "", "", "https://www.google.fr/maps/place/Bubble+Data+Consulting/data=!4m7!3m6!1s0x2eb722325cc5b5ff:0x9bd2e14d9758da07!8m2!3d49.1260466!4d-0.0728215!16s%2Fg%2F11j_7x8z9x!19sChIJ_7XFXDIity4RB9pYl03h0ps?authuser=0&hl=fr&rclk=1"
"Quadrigat", "38 Av. de l'Hippodrome, 14000 Caen", "02 31 94 29 42", "quadrigat.com", "", "abuse@ovh.net", "dimanche, Fermé; lundi, de 09:00 à 12:30, de 14:00 à 18:00; mardi, de 09:00 à 12:30, de 14:00 à 18:00; mercredi, de 09:00 à 12:30, de 14:00 à 18:00; jeudi, de 09:00 à 12:30, de 14:00 à 18:00; vendredi, de 09:00 à 12:00, de 14:00 à 16:00; samedi, Fermé. ", "", "", "49.178522", "-0.367778", "France", "Caen", "Agence de marketing", "5JHJ+CV Caen", "", "14000", "https://www.google.fr/maps/place/Quadrigat/data=!4m7!3m6!1s0x480a42a1833350af:0xdd4f51be881acb95!8m2!3d49.1785638!4d-0.3677767!16s%2Fg%2F1tr16z8h!19sChIJr1Azg6FCCkgRlcsaiL5RT90?authuser=0&hl=fr&rclk=1"
"Intee - Agence Community Management et Webmarketing", "7 Rue de la Prévoyance, 94300 Vincennes", "06 03 55 34 55", "intee-social.com", "", "contact@intee-social.com", "dimanche, Fermé; lundi, de 10:30 à 20:00; mardi, de 10:30 à 20:00; mercredi, de 10:30 à 20:00; jeudi, de 10:30 à 20:00; vendredi, de 10:30 à 20:00; samedi, Fermé. ", "", "5,0  ", "48.8469487", "2.4202691", "France", "Vincennes", "Agence de marketing", "RCWC+Q3 Vincennes", "", "94300", "https://www.google.fr/maps/place/Intee+-+Agence+Community+Management+et+Webmarketing/@48.8469692,2.4201977,17z/data=!3m1!4b1!4m6!3m5!1s0x47e6732e5f5afca3:0xd77eb91a8a1a9bf5!8m2!3d48.8469692!4d2.4201977!16s%2Fg%2F11r3dbnlbh?authuser=0&hl=fr&entry=ttu"
"Symbial - Institut de sondages indépendant", "205 Rue de Bayeux, 14000 Caen", "01 53 32 17 13", "symbial.fr", "", "ft@symbial.fr", "vendredi, de 09:00 à 18:00; samedi, Fermé; dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi (Toussaint), de 09:00 à 18:00, Les horaires peuvent être modifiés.; jeudi, de 09:00 à 18:00. ", "", "5,0  ", "49.1843906", "-0.3934798", "France", "Caen", "Agence de marketing", "5JM4+PH Caen", "", "14000", "https://www.google.fr/maps/place/Symbial+-+Institut+de+sondages+ind%C3%A9pendant/data=!4m7!3m6!1s0x480a5351999d1e63:0xf883ac8256c89532!8m2!3d49.1842736!4d-0.3935513!16s%2Fg%2F1thcm4ss!19sChIJYx6dmVFTCkgRMpXIVoKsg_g?authuser=0&hl=fr&rclk=1"
"KYM AGENCY", "", "07 83 77 77 76", "kymagency.com", "", "605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com", "dimanche, Fermé; lundi, de 10:00 à 19:00; mardi, de 10:00 à 19:00; mercredi, de 10:00 à 19:00; jeudi, de 10:00 à 19:00; vendredi, de 10:00 à 19:00; samedi, Fermé. ", "", "", "", "", "France", "", "Agence de marketing", "", "", "", "https://www.google.fr/maps/place/KYM+AGENCY/@30.6959409,-49.8171262,3z/data=!3m1!4b1!4m6!3m5!1s0x8734552a52395985:0xedba090b1731ca2f!8m2!3d30.6959409!4d-49.8171262!16s%2Fg%2F11thw5j565?authuser=0&hl=fr&entry=ttu"
"CAMEMB'R - Agence de communication sport", "34 La Butte, 14430 Hotot-en-Auge", "06 67 56 00 98", "camemb-r.com", "", "contact@camemb-r.com", "dimanche, Fermé; lundi, de 08:30 à 17:00; mardi, de 08:30 à 17:00; mercredi, de 08:30 à 17:00; jeudi, de 08:30 à 17:00; vendredi, de 08:30 à 17:00; samedi, Fermé. ", "", "", "49.1610948", "-0.0610685", "France", "Hotot en Auge", "Agence de marketing", "5W6R+H6 Hotot-en-Auge", "", "14430", "https://www.google.fr/maps/place/CAMEMB'R+-+Agence+de+communication+sport/@49.1613782,-0.0594847,17z/data=!3m1!4b1!4m6!3m5!1s0x480a61ec26f73f8f:0x67184f601a0f5f81!8m2!3d49.1613782!4d-0.0594847!16s%2Fg%2F11lgqhk_vx?authuser=0&hl=fr&entry=ttu"
"Agence Com' Kani", "84 Rue de Montreuil, 75011 Paris", "09 73 89 24 72", "comkani.fr", "", "hello@comkani.fr", "dimanche, Fermé; lundi, de 09:00 à 12:30, de 14:00 à 18:00; mardi, de 09:00 à 12:30, de 14:00 à 17:00; mercredi, de 09:00 à 12:30, de 14:00 à 18:00; jeudi, de 09:00 à 12:30, de 14:00 à 18:00; vendredi, de 09:00 à 12:30, de 14:00 à 16:00; samedi, Fermé. ", "", "5,0  ", "48.850544", "2.394015", "France", "Paris", "Agence de marketing", "V92V+6J Paris", "", "75011", "https://www.google.fr/maps/place/Agence+Com'+Kani/@48.8505029,2.3940022,17z/data=!3m1!4b1!4m6!3m5!1s0x47e66d9c8ad2b295:0x6da619e730194d32!8m2!3d48.8505029!4d2.3940022!16s%2Fg%2F11h7dcsytp?authuser=0&hl=fr&entry=ttu"
"TechSell", "24 Rue Chalgrin, 75116 Paris", "01 55 60 21 50", "techsell.fr", "", "accueil@techsell.fr", "dimanche, Fermé; lundi, de 08:00 à 20:00; mardi, de 08:00 à 20:00; mercredi, de 08:00 à 20:00; jeudi, de 08:00 à 20:00; vendredi, de 08:00 à 20:00; samedi, Fermé. ", "", "3,8  ", "48.8745321", "2.2884831", "France", "Paris", "Agence de marketing", "V7FQ+VF Paris", "", "75116", "https://www.google.fr/maps/place/TechSell/@48.8746649,2.2886772,17z/data=!3m1!4b1!4m6!3m5!1s0x47e67ae174d93369:0x720986acaf7ced1c!8m2!3d48.8746649!4d2.2886772!16s%2Fg%2F1tmk7trg?authuser=0&hl=fr&entry=ttu"
"Color Communication", "57 Bd de la Villette, 75010 Paris", "06 63 55 24 39", "color-communication.com", "", "info@odoo.com", "dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi, de 09:00 à 18:00; jeudi, de 09:00 à 18:00; vendredi, de 09:00 à 18:00; samedi, Fermé. ", "", "5,0  ", "48.8760492", "2.3721403", "France", "Paris", "Agence de marketing", "V9GC+8Q Paris", "", "75010", "https://www.google.fr/maps/place/Color+Communication/@48.8757591,2.3719579,17z/data=!3m1!4b1!4m6!3m5!1s0x6f85193f45be44cf:0x3b89988572d74978!8m2!3d48.8757591!4d2.3719579!16s%2Fg%2F11tp7r95dl?authuser=0&hl=fr&entry=ttu"
"Virtuoz", "18 Pass. du Chantier, 75012 Paris", "01 44 67 05 57", "virtu-oz.fr", "", "crea@virtu-oz.fr", "mardi, de 09:00 à 18:30; mercredi, de 09:00 à 18:30; jeudi, de 09:00 à 18:30; vendredi, de 09:00 à 18:30; samedi, Fermé; dimanche, Fermé; lundi, de 09:00 à 18:30. ", "", "5,0  ", "48.8515394", "2.3735095", "France", "Paris", "Agence de marketing", "V92F+JC Paris", "", "75012", "https://www.google.fr/maps/place/Virtuoz/data=!4m7!3m6!1s0x47e66575c422e65d:0x4e1a58733a7f442d!8m2!3d48.8515262!4d2.3735627!16s%2Fg%2F11g6rfphzt!19sChIJXeYixHVl5kcRLUR_OnNYGk4?authuser=0&hl=fr&rclk=1"
"Vendredi - Food Delivery  Social Media Experts", "7 Rue de Madrid, 75008 Paris", "06 03 08 39 08", "vendredi.agency", "", "contact@vendredi.agency", "dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi, de 09:00 à 18:00; jeudi, de 09:00 à 18:00; vendredi, de 09:00 à 18:00; samedi, Fermé. ", "", "5,0  ", "48.87845", "2.3210986", "France", "Paris", "Agence de marketing", "V8HC+89 Paris", "", "75008", "https://www.google.fr/maps/place/Vendredi+-+Food+Delivery+%26+Social+Media+Experts/@48.878331,2.3209632,17z/data=!3m1!4b1!4m6!3m5!1s0xa9d1c2ef52f81f33:0xdc55bb6e3f87abd3!8m2!3d48.878331!4d2.3209632!16s%2Fg%2F11sf27n9yb?authuser=0&hl=fr&entry=ttu"
"Com'Busters", "229 Rue Saint-Honoré, 75001 Paris", "01 89 16 35 63", "combusters.fr", "", "contact@combusters.fr", "jeudi, de 08:00 à 20:00; vendredi, de 08:00 à 19:00; samedi, Fermé; dimanche, Fermé; lundi, de 08:00 à 19:00; mardi, de 08:00 à 19:00; mercredi, de 08:00 à 20:00. ", "4 ", "5,0  ", "48.8660812", "2.3294854", "France", "Paris", "Agence de marketing", "V88H+CQ Paris", "", "75001", "https://www.google.fr/maps/place/Com%27Busters/data=!4m7!3m6!1s0x47e6713405a382f7:0xe909a8151f06c6e0!8m2!3d48.8660154!4d2.3294181!16s%2Fg%2F11j8m02fc1!19sChIJ94KjBTRx5kcR4MYGHxWoCek?authuser=0&hl=fr&rclk=1"
"KOSMOSS.FR / Agence Branding Paris", "1 Rue de Stockholm, 75008 Paris", "01 88 33 67 60", "kosmoss.fr", "", "contact@kosmoss.fr", "dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi, de 09:00 à 18:00; jeudi, de 09:00 à 18:00; vendredi, de 09:00 à 18:00; samedi, Fermé. ", "", "5,0  ", "48.8771006", "2.3227445", "France", "Paris", "Agence de marketing", "V8GF+R4 Paris", "", "75008", "https://www.google.fr/maps/place/KOSMOSS.FR+%2F+Agence+Branding+Paris/@48.8770248,2.3228362,17z/data=!3m1!4b1!4m6!3m5!1s0x47e66f9aad8bd2b1:0xa65e070288f2b544!8m2!3d48.8770248!4d2.3228362!16s%2Fg%2F11jg2dhqyd?authuser=0&hl=fr&entry=ttu"
"New Generation Agency", "192 Rue du Faubourg Saint-Martin, 75010 Paris", "09 72 52 46 12", "newgenerationagency.fr", "", "contact@ng-agency.fr", "dimanche, Fermé; lundi, de 09:00 à 19:00; mardi, de 09:00 à 19:00; mercredi, de 09:00 à 19:00; jeudi, de 09:00 à 19:00; vendredi, de 09:00 à 19:00; samedi, Fermé. ", "", "4,3  ", "48.8788604", "2.3626324", "France", "Paris", "Agence de marketing", "V9H7+G3 Paris", "", "75010", "https://www.google.fr/maps/place/New+Generation+Agency/@48.8787595,2.3627261,17z/data=!3m1!4b1!4m6!3m5!1s0x47e66de6d346f181:0x8297a5234a1bd02d!8m2!3d48.8787595!4d2.3627261!16s%2Fg%2F11dxbd6fb2?authuser=0&hl=fr&entry=ttu"
"# Hashtag Communication", "91 Rue du Faubourg Saint-Honoré, 75008 Paris", "01 84 80 85 88", "youtu.be", "", "Contact.mastu@gmail.com", "dimanche, Fermé; lundi, de 09:30 à 18:00; mardi, de 09:30 à 18:00; mercredi, de 09:30 à 18:00; jeudi, de 09:30 à 18:00; vendredi, de 09:30 à 18:00; samedi, Fermé. ", "", "5,0  ", "48.8719892", "2.3130403", "France", "Paris", "Agence de marketing", "V8C7+P7 Paris", "", "75008", "https://www.google.fr/maps/place/%23+Hashtag+Communication/@48.8718693,2.3131708,17z/data=!3m1!4b1!4m6!3m5!1s0x47e66fcf4c694ca9:0x87fd9a26273052c3!8m2!3d48.8718693!4d2.3131708!16s%2Fg%2F11c1mzb99j?authuser=0&hl=fr&entry=ttu"
"Fast Good Digital", "", "06 31 94 10 38", "fastgooddigital.com", "", "superpizza@gmail.com", "dimanche, Fermé; lundi, de 09:00 à 18:30; mardi, de 09:30 à 18:30; mercredi, de 09:00 à 19:30; jeudi, de 09:00 à 18:30; vendredi, de 09:00 à 18:30; samedi, Fermé. ", "", "4,5  ", "", "", "France", "", "Agence de marketing", "", "", "", "https://www.google.fr/maps/place/Fast+Good+Digital/data=!4m7!3m6!1s0x47e66f5e1a608563:0x8f4b0576e6dd1d6!8m2!3d30.8863918!4d-49.4022062!16s%2Fg%2F11hy9n9bn2!19sChIJY4VgGl5v5kcR1tFtblew9Ag?authuser=0&hl=fr&rclk=1"
"Cookrea - Agence marketing digital TPE/PME", "", "06 22 28 83 02", "cookrea.fr", "", "02hello@cookrea.frDu", "dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi, de 09:00 à 18:00; jeudi, de 09:00 à 18:00; vendredi, de 09:00 à 17:30; samedi, Fermé. ", "", "4,9  ", "", "", "France", "", "Agence de marketing", "", "", "", "https://www.google.fr/maps/place/Cookrea+-+Agence+marketing+digital+TPE%2FPME/data=!4m7!3m6!1s0x4501f41c8d4a865:0x91c99f25f63d076a!8m2!3d30.6959409!4d-49.8171262!16s%2Fg%2F11rcms0cxf!19sChIJZajUyEEfUAQRagc99iWfyZE?authuser=0&hl=fr&rclk=1"
"Only You", "52 Rue Taitbout, 75009 Paris", "01 76 69 30 00", "onlyyou.eu.com", "", "605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com", "vendredi, de 07:00 à 19:00; samedi, Fermé; dimanche, Fermé; lundi, de 07:00 à 19:00; mardi, de 07:00 à 19:00; mercredi (Toussaint), de 07:00 à 19:00, Les horaires peuvent être modifiés.; jeudi, de 07:00 à 19:00. ", "", "4,3  ", "48.8748038", "2.335302", "France", "Paris", "Agence de marketing", "V8FP+W6 Paris", "", "75009", "https://www.google.fr/maps/place/Only+You/data=!4m7!3m6!1s0x47e66db1f029fa49:0xe4439e96e1b1e688!8m2!3d48.874856!4d2.3355742!16s%2Fg%2F11b6gf4y3x!19sChIJSfop8LFt5kcRiOax4ZaeQ-Q?authuser=0&hl=fr&rclk=1"
"June Marketing", "89 Bd Pereire, 75017 Paris", "01 41 06 57 00", "junemarketing.fr", "", "contact@junemarketing.fr", "dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi, de 09:00 à 18:00; jeudi, de 09:00 à 18:00; vendredi, de 09:00 à 17:30; samedi, Fermé. ", "", "4,6  ", "48.8864378", "2.3013079", "France", "Paris", "Agence de marketing", "V8P2+GH Paris", "", "75017", "https://www.google.fr/maps/place/June+Marketing/@48.8863448,2.3014253,17z/data=!3m1!4b1!4m6!3m5!1s0x47e66f0e8d754bed:0x90dbd9e92893b0d9!8m2!3d48.8863448!4d2.3014253!16s%2Fg%2F11c1lxq2qx?authuser=0&hl=fr&entry=ttu"
"Seventic", "240 Rue Championnet, 75018 Paris", "01 53 06 39 00", "seventic.com", "", "contact@seventic.com", "dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi, de 09:00 à 18:00; jeudi, de 09:00 à 18:00; vendredi, de 09:00 à 18:00; samedi, Fermé. ", "", "4,7  ", "48.8932431", "2.3280001", "France", "Paris", "Agence de marketing", "V8VH+85 Paris", "", "75018", "https://www.google.fr/maps/place/Seventic/@48.893297,2.3279953,17z/data=!3m1!4b1!4m6!3m5!1s0x47e66e545f02d44d:0xaf8c32370f0f5bfb!8m2!3d48.893297!4d2.3279953!16s%2Fg%2F1td7mmfz?authuser=0&hl=fr&entry=ttu"
"Kamui Digital Sante", "10 Rue de Penthièvre, 75008 Paris", "06 83 10 24 74", "kdsante.com", "", "contact@kdsante.com", "dimanche, Fermé; lundi, Ouvert 24h/24; mardi, Ouvert 24h/24; mercredi, Ouvert 24h/24; jeudi, Ouvert 24h/24; vendredi, Ouvert 24h/24; samedi, Fermé. ", "", "4,7  ", "48.8730929", "2.3165648", "France", "Paris", "Agence de marketing", "V8F8+6M Paris", "", "75008", "https://www.google.fr/maps/place/Kamui+Digital+Sante/@48.8730641,2.3166269,17z/data=!3m1!4b1!4m6!3m5!1s0x47e66ff0b0c6b221:0xaee798b30cb1ec10!8m2!3d48.8730641!4d2.3166269!16s%2Fg%2F11g7_dtx00?authuser=0&hl=fr&entry=ttu"
"MSW Agency", "10 Pl. Vendôme, 75001 Paris", "01 89 16 74 66", "msw-agency.com", "", "contact@msw-agency.com", "dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi, de 09:00 à 18:00; jeudi, de 09:00 à 18:00; vendredi, de 09:00 à 18:00; samedi, Fermé. ", "", "5,0  ", "48.8668274", "2.3298141", "France", "Paris", "Agence de marketing", "V88H+JH Paris", "", "75001", "https://www.google.fr/maps/place/MSW+Agency/@48.8665493,2.3289966,17z/data=!3m1!4b1!4m6!3m5!1s0x47e5df50e66118bb:0x81e6de18c5874405!8m2!3d48.8665493!4d2.3289966!16s%2Fg%2F11nrqmb55_?authuser=0&hl=fr&entry=ttu"
"Agence Colibri - Stratégie digitale  Application Web", "13 All. de Cindais, 14320 Saint-André-sur-Orne", "02 58 23 03 33", "agence-colibri.com", "", "contact@agence-colibri.com", "dimanche, Fermé; lundi, de 09:00 à 13:00, de 14:00 à 17:00; mardi, de 09:00 à 13:00, de 14:00 à 17:00; mercredi, de 09:00 à 13:00, de 14:00 à 17:00; jeudi, de 09:00 à 13:00, de 14:00 à 17:00; vendredi, de 09:00 à 13:00, de 14:00 à 17:00; samedi, Fermé. ", "", "5,0  ", "49.1257611", "-0.3782092", "France", "Saint André sur Orne", "Agence de marketing", "4JGC+6P Saint-André-sur-Orne", "", "14320", "https://www.google.fr/maps/place/Agence+Colibri+-+Strat%C3%A9gie+digitale+%26+Application+Web/@49.1255267,-0.3781911,17z/data=!3m1!4b1!4m6!3m5!1s0x480a43f0ae51b167:0xaadc0176179db8c2!8m2!3d49.1255267!4d-0.3781911!16s%2Fg%2F11qs84mddm?authuser=0&hl=fr&entry=ttu"
"HelpIn", "", "+1 505-800-4227", "helpinagency.com", "", "contact@helpinagency.com", "dimanche, Fermé; lundi, de 08:30 à 17:15; mardi, de 08:30 à 17:15; mercredi, de 08:30 à 17:15; jeudi, de 08:30 à 17:15; vendredi, de 08:30 à 17:00; samedi, Fermé. ", "", "5,0  ", "", "", "France", "", "Agence de marketing", "", "", "", "https://www.google.fr/maps/place/HelpIn/data=!4m7!3m6!1s0xa83d51408c77a5d5:0x74f558326dcf7989!8m2!3d46.952891!4d-79.5417226!16s%2Fg%2F11rg_l97p4!19sChIJ1aV3jEBRPagRiXnPbTJY9XQ?authuser=0&hl=fr&rclk=1"
"Agence Im'Pulsive - Digital", "35 Rue de Valmy, 76600 Le Havre", "02 35 31 15 36", "im-pulsive.com", "", "hello@im-pulsive.com", "dimanche, Fermé; lundi, de 09:00 à 17:00; mardi, de 09:00 à 17:00; mercredi, de 09:00 à 17:00; jeudi, de 09:00 à 17:00; vendredi, de 09:00 à 17:00; samedi, Fermé. ", "", "3,9  ", "49.4896445", "0.1451818", "France", "Le Havre", "Agence de marketing", "F4RW+63 Le Havre", "", "76600", "https://www.google.fr/maps/place/Agence+Im'Pulsive+-+Digital/@49.4906063,0.1451743,17z/data=!3m1!4b1!4m6!3m5!1s0x47e02ffc849ad80b:0x37b83b329e6f51e5!8m2!3d49.4906063!4d0.1451743!16s%2Fg%2F11jndls6_w?authuser=0&hl=fr&entry=ttu"
"Adscy - Agence digitale 360", "33 Rue de Berri, 75008 Paris", "06 95 91 93 96", "adsandcy.com", "", "contact@adsandcy.com", "dimanche, Fermé; lundi, de 09:00 à 19:00; mardi, de 09:00 à 19:00; mercredi, de 09:00 à 19:00; jeudi, de 09:00 à 19:00; vendredi, de 09:00 à 19:00; samedi, Fermé. ", "", "5,0  ", "48.8735549", "2.3061046", "France", "Paris", "Agence de marketing", "V8F4+FC Paris", "", "75008", "https://www.google.fr/maps/place/Ads%26cy+-+Agence+digitale+360/@48.873659,2.3060429,17z/data=!3m1!4b1!4m6!3m5!1s0x47e66fd56ddb4471:0x4867ea805a29166e!8m2!3d48.873659!4d2.3060429!16s%2Fg%2F11tnm1_mlw?authuser=0&hl=fr&entry=ttu"
"KOLIFT Marketing Paris", "59 Rue de Ponthieu Bureau 326, 75008 Paris", "06 40 13 56 02", "kolift.fr", "", "contact@kolift.fr", "dimanche, Fermé; lundi, de 09:00 à 19:00; mardi, de 09:00 à 19:00; mercredi, de 09:00 à 19:00; jeudi, de 09:00 à 19:00; vendredi, de 09:00 à 19:00; samedi, Fermé. ", "", "5,0  ", "", "", "France", "Paris", "Agence de marketing", "V8C3+RX Paris", "", "75008", "https://www.google.fr/maps/place/KOLIFT+Marketing+Paris/@48.8720453,2.3049256,17z/data=!3m1!4b1!4m6!3m5!1s0x47e66f33a3fb7b3f:0x6d4989426724f0f9!8m2!3d48.8720453!4d2.3049256!16s%2Fg%2F11t164j_14?authuser=0&hl=fr&entry=ttu"
"Genius", "69 Bd Haussmann, 75008 Paris", "01 85 08 20 00", "genius.paris", "", "hello@genius.paris", "dimanche, Fermé; lundi, de 09:30 à 19:00; mardi, de 09:30 à 19:00; mercredi, de 09:30 à 19:00; jeudi, de 09:30 à 19:00; vendredi, de 09:30 à 19:00; samedi, Fermé. ", "", "5,0  ", "48.8739298", "2.3248447", "France", "Paris", "Agence de marketing", "V8FF+CV Paris", "", "75008", "https://www.google.fr/maps/place/Genius/data=!4m7!3m6!1s0x47e66e34c2cb2a87:0xad1834d8d54bf314!8m2!3d48.8736181!4d2.3247129!16s%2Fg%2F11gd03kbpz!19sChIJhyrLwjRu5kcRFPNL1dg0GK0?authuser=0&hl=fr&rclk=1"
"POINT D'ORGUE - PO AGENCY", "65 Rue d'Anjou, 75008 Paris", "01 82 83 00 01", "po.agency", "", "jobs@po.agency", "dimanche, Fermé; lundi, de 09:00 à 18:30; mardi, de 09:00 à 18:30; mercredi, de 09:00 à 18:30; jeudi, de 09:00 à 18:30; vendredi, de 09:00 à 18:30; samedi, Fermé. ", "", "5,0  ", "48.8745586", "2.3227345", "France", "Paris", "Agence de marketing", "V8FF+V3 Paris", "", "75008", "https://www.google.fr/maps/place/POINT+D'ORGUE+-+PO+AGENCY/@48.8746319,2.3226832,17z/data=!3m1!4b1!4m6!3m5!1s0x47f4eb8746d7d591:0xfbf109f81bed493e!8m2!3d48.8746319!4d2.3226832!16s%2Fg%2F11f7sv288c?authuser=0&hl=fr&entry=ttu"
"Sacrée Josette", "", "06 21 20 80 77", "sacreejosette.fr", "", "margaux@sacreejosette.fr", "dimanche, de 08:30 à 21:00; lundi, de 08:30 à 21:00; mardi, de 08:30 à 21:00; mercredi, de 08:30 à 21:00; jeudi, de 08:30 à 21:00; vendredi, de 08:30 à 21:00; samedi, de 08:30 à 21:00. ", "", "5,0  ", "", "", "France", "", "Agence de marketing", "", "", "", "https://www.google.fr/maps/place/Sacr%C3%A9e+Josette/@30.6959409,-49.8171262,3z/data=!3m1!4b1!4m6!3m5!1s0x230f3778289a9a23:0xcc0c6233aebdfe99!8m2!3d30.6959409!4d-49.8171262!16s%2Fg%2F11p5tp2264?authuser=0&hl=fr&entry=ttu"
"Digital Development 🔑", "", "07 88 36 58 52", "digital-development.fr", "", "thomas@digital-developmnet.fr", "dimanche, Fermé; lundi, de 09:00 à 19:00; mardi, de 09:00 à 19:00; mercredi, de 09:00 à 19:00; jeudi, de 09:00 à 19:00; vendredi, de 09:00 à 19:00; samedi, de 09:00 à 19:00. ", "", "5,0  ", "", "", "France", "", "Agence de marketing", "", "", "", "https://www.google.fr/maps/place/Digital+Development+%F0%9F%94%91/@49.184641,-0.3722427,13z/data=!3m1!4b1!4m6!3m5!1s0x28f6755cb21fc7bf:0x617bd9a8604a0082!8m2!3d49.184641!4d-0.3722427!16s%2Fg%2F11rv224l3f?authuser=0&hl=fr&entry=ttu"
"iDLabs", "8 Rue Léopold Sédar-Senghor, 14460 Colombelles", "07 63 19 82 12", "idlabs.fr", "", "jb.bodard@idlabs.fr", "", "", "5,0  ", "49.188399", "-0.305539", "France", "Colombelles", "Agence de marketing", "5MQR+7H Colombelles", "", "14460", "https://www.google.fr/maps/place/iDLabs/data=!4m7!3m6!1s0x480a6863f73fffff:0x8a1b757ed899502c!8m2!3d49.188206!4d-0.3085519!16s%2Fg%2F11mxzdy6r1!19sChIJ__8_92NoCkgRLFCZ2H51G4o?authuser=0&hl=fr&rclk=1"
"Digital Cookie", "", "09 75 24 68 97", "digital-cookie.io", "", "contact@digital-cookie.io", "dimanche, Fermé; lundi, de 09:00 à 12:30, de 14:00 à 18:00; mardi, de 09:00 à 12:30, de 14:00 à 18:00; mercredi, de 09:00 à 12:30, de 14:00 à 18:00; jeudi, de 09:00 à 12:30, de 14:00 à 18:00; vendredi, de 09:00 à 12:30, de 14:00 à 17:30; samedi, Fermé. ", "", "5,0  ", "", "", "France", "", "Agence de marketing", "", "", "", "https://www.google.fr/maps/place/Digital+Cookie/data=!4m7!3m6!1s0x480a43af757f089d:0x24e1b8a75049a4de!8m2!3d46.952891!4d-65.254765!16s%2Fg%2F11pz3sw2jh!19sChIJnQh_da9DCkgR3qRJUKe44SQ?authuser=0&hl=fr&rclk=1"
"SN-Marketing", "", "06 63 70 42 00", "sn-marketing.fr", "", "contact@sn-marketing.fr", "dimanche, Fermé; lundi, de 08:00 à 18:00; mardi, de 08:00 à 18:00; mercredi, de 08:00 à 18:00; jeudi, de 08:00 à 18:00; vendredi, de 08:00 à 18:00; samedi, Fermé. ", "", "5,0  ", "", "", "France", "", "Agence de marketing", "", "", "", "https://www.google.fr/maps/place/SN-Marketing/@46.4694904,3.2979655,7z/data=!3m1!4b1!4m6!3m5!1s0xa6f88da011e651f3:0x5de85df3e25e212!8m2!3d46.4694904!4d3.2979655!16s%2Fg%2F11ts05jlgf?authuser=0&hl=fr&entry=ttu"
"Landmarks", "139 Bd Haussmann, 75008 Paris", "01 42 36 02 02", "landmarks-agence.fr", "", "contact@landmarks-agence.fr", "dimanche, Fermé; lundi, de 09:00 à 19:00; mardi, de 09:00 à 19:00; mercredi, de 09:00 à 19:00; jeudi, de 09:00 à 19:00; vendredi, de 09:00 à 19:00; samedi, Fermé. ", "", "5,0  ", "48.875016", "2.3125073", "France", "Paris", "Agence de marketing", "V8F6+XX Paris", "", "75008", "https://www.google.fr/maps/place/Landmarks/@48.8749264,2.3124515,17z/data=!3m1!4b1!4m6!3m5!1s0x47e66e17fa25ee6f:0xeb63046021c4133b!8m2!3d48.8749264!4d2.3124515!16s%2Fg%2F1vvr5jhv?authuser=0&hl=fr&entry=ttu"
